group,sector,n_stocks,n_with_data,median_rs_rating,price_trend_annualised,composite_score,rank,pct_halal,n_halal,n_questionable,n_haram
ELECTRONIC-MILITARY SYSTEMS,ELECTRONICS,7,7,,-0.21230514760264138,-0.2613167474453659,149,0.0,0,7,0
CONSUMER PRODUCTS-SOAPS/CLEANERS,CONSUMER,4,3,,-0.23295254643065544,-0.27741346824610374,150,1.0,4,0,0
TELECOM-WIRELESS SVCS,TELECOM,6,3,,-0.23340749922962256,-0.277768149639314,151,1.0,6,0,0
BUILDING-CEMENT/CONCRETE,BUILDING,5,3,,-0.2383966895961199,-0.28165772454510196,152,1.0,5,0,0
CONSUMER SVCS-PERSONAL,CONSUMER,4,3,,-0.2586451477052365,-0.29744343099378373,153,1.0,4,0,0
AUTO MANUFACTURERS,AUTO,9,8,,-0.26876794465088727,-0.30533516774541863,154,0.7777777777777778,7,2,0
RETAIL-DEPARTMENT STORES,RETAIL,4,3,,-0.2852037391144025,-0.3181485200142073,155,1.0,4,0,0
FOOD-CONFECTIONERY,FOOD_BEVERAGE,3,3,,-0.29024523820226544,-0.32207887482114783,156,1.0,3,0,0
BUILDING-CONSTRUCTION PRODUCTS,BUILDING,6,5,,-0.29077393654532085,-0.3224910482715114,157,1.0,6,0,0
BUILDING-WOOD PRODUCTS,BUILDING,5,4,,-0.2910640363626764,-0.32271721021099903,158,1.0,5,0,0
BUILDING-MAINT & SVCS,BUILDING,5,5,,-0.29327298018470227,-0.3244393037426754,159,1.0,5,0,0
MEDICAL-PRODUCTS,MEDICAL,14,14,,-0.31003115764114497,-0.3375039859281903,160,1.0,14,0,0
MEDICAL-LONG-TERM CARE,MEDICAL,4,2,,-0.3172925902620187,-0.3431650018501081,161,1.0,4,0,0
INTERNET-E-COMMERCE,INTERNET,12,11,,-0.3243392390386416,-0.3486585721968126,162,1.0,12,0,0
RETAIL-RESTAURANTS,RETAIL,19,18,,-0.32545017882519944,-0.3495246613211429,163,0.5263157894736842,10,5,4
RETAIL/WHLSL-AUTO,RETAIL,12,12,,-0.3302948540937191,-0.3533015721958335,164,1.0,12,0,0
LEISURE-RESTAURANTS,LEISURE,16,15,,-0.3486008060888715,-0.36757290006198007,165,0.1875,3,9,4
LEISURE-PRODUCTS,LEISURE,8,7,,-0.35349879834179815,-0.371391376880114,166,1.0,8,0,0
ENERGY-COAL,ENERGY,6,4,,-0.3598550135796104,-0.3763466849498957,167,1.0,6,0,0
MEDICAL-SUPPLIES,MEDICAL,10,5,,-0.36571418188381694,-0.3809144950214182,168,1.0,10,0,0
BEVERAGES-ALCOHOLIC,ALCOHOL_TOBACCO,6,4,,-0.3692001114307377,-0.38363212716071193,169,0.0,0,0,6
FINANCE-MORTGAGE & RELATED SVC,FINANCE,7,5,,-0.3743654826771877,-0.38765905275452833,170,0.0,0,0,7
FOOD-MEAT PRODUCTS,FOOD_BEVERAGE,4,3,,-0.38287555781743476,-0.3942935109091313,171,0.0,0,4,0
AEROSPACE-DEFENSE,AEROSPACE,13,13,,-0.3948716519847022,-0.4036456709617512,172,0.0,0,13,0
BUILDING-RESIDENTIAL/COMMERCIAL,BUILDING,11,9,,-0.3970808660460237,-0.40536797517209594,173,1.0,11,0,0
FOOD-CANNED,FOOD_BEVERAGE,4,4,,-0.41098268181285824,-0.41620583658437316,174,1.0,4,0,0
AUTO/TRUCK-REPLACEMENT PARTS,AUTO,6,6,,-0.4265034552631147,-0.42830583808680506,175,1.0,6,0,0
RETAIL/WHLSL-AUTOMOTIVE PARTS,RETAIL,5,5,,-0.42998990899576534,-0.43102387888151406,176,1.0,5,0,0
COMPUTER SFTWR-FINANCIAL,SOFTWARE,10,10,,-0.4347629320682914,-0.4347449296741055,177,1.0,10,0,0
RETAIL/WHLSL-BUILDING PRODUCTS,RETAIL,6,6,,-0.4453777744491124,-0.44302026525371807,178,1.0,6,0,0
LEISURE-TOYS/GAMES/HOBBY,LEISURE,5,5,,-0.45156319929517613,-0.44784242506233984,179,1.0,5,0,0
MEDICAL-SYSTEMS/EQUIPMENT,MEDICAL,10,8,,-0.4928600340353484,-0.4800374547754701,180,1.0,10,0,0
FOOD-PACKAGED,FOOD_BEVERAGE,7,5,,-0.519752412401039,-0.5010027642474313,181,1.0,7,0,0
COMMERCIAL SVCS-CONSULTING,BUSINESS_PRODUCTS,8,7,,-0.5226208887229541,-0.5032390295931052,182,1.0,8,0,0
COMPUTER-TECH SERVICES,COMPUTER,6,4,,-0.5680280991429625,-0.5386385099130933,183,1.0,6,0,0
MEDICAL-HOSPITALS,MEDICAL,6,5,,-0.5896149513736894,-0.5554676289812707,184,1.0,6,0,0
COMPUTER SFTWR-SPECIALTY,SOFTWARE,10,8,,-0.6411680367263737,-0.5956584359807877,185,1.0,10,0,0
OFFICE-OUTSOURCING SVCS,OFFICE,4,3,,-0.6622949724405587,-0.6121290039394482,186,1.0,4,0,0
METAL ORES-SILVER,METALS,8,7,,-0.6753581335884098,-0.6223130498584291,187,1.0,8,0,0
METAL ORES-GOLD,METALS,10,10,,-0.7283991566938628,-0.6636638537551194,188,1.0,10,0,0
COMPUTER-SERVICES,COMPUTER,10,9,,-0.8795398807859179,-0.7814932257547672,189,1.0,10,0,0
BUILDING-MOBILE/MFG & RV,BUILDING,5,5,,-0.9641973837169202,-0.8474922506062216,190,1.0,5,0,0
CONSUMER PRODUCTS-PET,CONSUMER,7,6,,-0.9940186173550402,-0.8707408968790441,191,1.0,7,0,0
MEDIA-CABLE/SATELLITE TV,MEDIA,8,5,,-1.4434000835838052,-1.221078876745847,192,0.0,0,8,0
COMPUTER-INTEGRATED SYSTEMS,COMPUTER,0,0,,,,,0.0,0,0,0
COMPUTER-LOCAL NETWORKS,COMPUTER,0,0,,,,,0.0,0,0,0
FINANCE-ETFS/CLOSED-END FUNDS,FINANCE,0,0,,,,,0.0,0,0,0
FOOD-FLOUR & GRAIN,FOOD_BEVERAGE,0,0,,,,,0.0,0,0,0
MEDIA-PERIODICALS,MEDIA,2,0,,,,,1.0,2,0,0
